image_id,label,shape,rgb_std_red,rgb_std_green,rgb_std_blue,rgb_std_mean,rgb_contrast,rgb_brightness
ID_5ADLQQ,1,64x64x12,5039.658650443685,4821.678768021539,4686.3972616209,4849.244893362041,4861.5837181384595,11530.345909667969
ID_M9JIJD,1,64x64x12,4002.0458787082907,3744.534868163333,3713.872104330495,3820.1509504007063,3803.671400535318,8440.633954589843
ID_F6CSQO,1,64x64x12,3890.2521442901143,3692.9174853643813,3701.3648558693303,3761.5114951746086,3736.645940456787,5232.853506347657
ID_40WQ3O,0,64x64x12,3571.116658440115,3533.891463892046,3524.114089298072,3543.040737210078,3537.8526804681146,6602.443749511718
ID_LIY56F,0,64x64x12,3485.100023989521,3471.7042130084333,3483.9411617621945,3480.2484662533825,3472.885078515302,5477.833348876953
ID_975AAM,0,64x64x12,3226.3194929143096,3311.4322317619803,3422.2431458964274,3319.998290190906,3294.6047124072315,10109.37876513672
ID_9GBJC4,0,64x64x12,3322.9723749437408,3289.8603270089006,3284.9010459300957,3299.2445826275793,3295.5014587079677,5315.153754638672
ID_Y994JU,0,64x64x12,3509.9298015639642,3291.9042868482366,3079.3004191531504,3293.711502521784,3331.6705410569525,6467.808306396484
ID_9D46VK,0,64x64x12,3259.0814254358647,3186.877895310434,3185.074698984671,3210.344673243657,3201.807957088782,5800.863713134766
ID_66DEX6,1,64x64x12,2974.7544240477027,3067.8461363787965,3418.674121915945,3153.758227447481,3079.5517200582476,4287.164529052734
ID_VR0XAR,0,64x64x12,3156.851842391553,3135.669963856816,3140.2997585836847,3144.2738549440182,3139.311427885265,4592.163385253906
ID_8Y6R7B,0,64x64x12,3055.9508037002447,3031.6870035594925,3042.2899741583283,3043.3092604726885,3037.7284776612187,6213.634940429688
ID_P8B1UW,0,64x64x12,3014.1186791716264,3000.9483894554564,3049.489090766914,3021.518719797999,3009.015423490482,6094.184019042968
ID_JEWOFW,0,64x64x12,3003.2489983713695,2984.2252991222826,3029.381544819279,3005.618614104311,2988.0485456332676,5030.567638671875
ID_4ZVXE8,0,64x64x12,2816.9783060333616,2963.724279388684,3125.0095948249673,2968.5707267490047,2931.7175374006124,4645.484319580078
ID_6ZGDGB,0,64x64x12,2940.401499120778,2928.4871923460246,2939.905881405092,2936.264857623965,2928.0991870130556,4124.228490966797
ID_9D9W0Y,0,64x64x12,2967.781820686553,2911.0408275247632,2867.3779361210327,2915.40019477745,2918.6006498009465,4002.8143100585935
ID_8LHT1W,0,64x64x12,2909.062848672734,2880.4799245334,2908.649133418397,2899.3973022081773,2888.6857789548017,5256.049300292969
ID_921HUF,0,64x64x12,3009.1178680658254,2856.0641647888892,2828.5391832388596,2897.9070720311915,2889.695899189343,8079.6794714355465
ID_MX2THO,0,64x64x12,3026.2778145262187,2796.085541153332,2734.975628980283,2852.4463282199445,2844.325217675505,8528.485778076172
